"structure_number","county","facility_carried","location","year_built","bridge_age","deck_rating","superstructure_rating","substructure_rating","lowest_rating","bridge_condition","daily_traffic","percent_truck_traffic","poor_condition"
"S080 45283L    ",55,"'WB-I80'","'GROVER ST INTRCHG'",1990,36,"6","7","8",6,"F",176745,7,FALSE
"S080 45283R    ",55,"'EB-I80'","'GROVER ST INTRCHG'",1990,36,"8","7","8",7,"G",176745,7,FALSE
"S080 45297     ",55,"'WB-I80/NB-I480 RP3'","'GROVER ST INTRCHG'",1992,34,"8","8","8",8,"G",176745,7,FALSE
"S080 45298A    ",55,"'SB-I480/EB-I80'","'GROVER ST INTRCHG #7'",1989,37,"7","8","8",7,"G",115680,5,FALSE
"S080 45298L    ",55,"'WB-I80'","'GROVER ST INTRCHG  #1'",1989,37,"8","8","8",8,"G",176745,7,FALSE
"S080 45298R    ",55,"'EB-I80'","'GROVER ST INTRCHG  #2'",1989,37,"8","8","7",7,"G",176745,7,FALSE
"S080 45301     ",55,"'EB-I80/SB-US75 RP6'","'GROVER ST INTRCHG'",1992,34,"6","8","8",6,"F",176745,7,FALSE
"S080 45303A    ",55,"'SB-I480'","'GROVER ST INTRCHG #3'",1989,37,"7","8","8",7,"G",44370,7,FALSE
"S080 45303B    ",55,"'NB-I480'","'GROVER ST INTRCHG  #4'",1989,37,"7","8","8",7,"G",44370,7,FALSE
"S080 45308     ",55,"'NB-US75/WB-I80'","'GROVER ST INTRCHG  #8'",1989,37,"8","7","8",7,"G",84810,3,FALSE
"S080 45314L    ",55,"'WB-I80'","'GROVER ST INTRCHG  #9'",1990,36,"8","7","8",7,"G",91540,12,FALSE
"S080 45314R    ",55,"'EB-I80'","'GROVER ST INTRCHG  #10'",1990,36,"8","7","8",7,"G",91540,12,FALSE
"S080 45316     ",55,"'24TH ST RMP TO I80'","'GROVER ST INTRCHG  #16'",1990,36,"6","8","8",6,"F",91540,12,FALSE
"S080 45334     ",55,"'EB-I80 RMP TO 24TH'","'24TH ST INTRCHG'",1992,34,"8","8","8",8,"G",91540,12,FALSE
"S080 45335     ",55,"'24TH RMP TO WB-I80'","'24TH ST INTRCHG'",1992,34,"6","8","8",6,"F",91540,12,FALSE
"S080 45337     ",55,"'24TH ST/FAU 5083'","'24TH ST INTRCHG'",1962,64,"8","7","7",7,"G",15390,0,FALSE
"S080 45361     ",55,"'20TH ST/FAU 5089'","'IN OMAHA'",1989,37,"8","7","8",7,"G",2430,0,FALSE
"S080 45389     ",55,"'I80'","'IN OMAHA'",1972,54,"8","8","8",8,"G",87640,13,FALSE
"S080 45413     ",55,"'13TH ST/FAU 5121'","'13TH ST INTRCHG'",1996,30,"6","8","7",6,"F",29300,0,FALSE
"S080 45433     ",55,"'10TH ST/FAU 5103'","'IN OMAHA'",1995,31,"6","8","8",6,"F",2610,0,FALSE
"S080 45461     ",55,"'RIVERVIEW BLVD'","'IN OMAHA'",2008,18,"8","8","8",8,"G",700,10,FALSE
"S080 45531L    ",55,"'I-80 WB'","'ECL OMAHA'",2010,16,"7","8","8",7,"G",71415,15,FALSE
"S080 45531R    ",55,"'I80'","'ECL OMAHA'",1972,54,"7","6","7",6,"F",71415,15,FALSE
"S085 00402     ",55,"'N85'","'SCL OMAHA'",2018,8,"7","9","8",7,"G",23690,4,FALSE
"S092 46256L    ",55,"'N92'","'2E YUTAN'",2005,21,"6","8","7",6,"F",7955,9,FALSE
"S092 46282L    ",55,"'N92'","'2E YUTAN'",2005,21,"6","8","7",6,"F",7955,9,FALSE
"S092 46400     ",55,"'N92'","'3E YUTAN'",2017,9,"N","N","N",9,"G",7955,9,FALSE
"S092 46425     ",55,"'N92'","'3E YUTAN'",1942,84,"N","N","N",6,"F",7955,9,FALSE
"S092 46635     ",55,"'N92'","'5E YUTAN'",1955,71,"6","6","5",5,"F",7955,9,FALSE
"S133 00155     ",55,"'N133'","'IN OMAHA'",1939,87,"N","N","N",6,"F",15050,2,FALSE
"S133 00591L    ",55,"'N133'","'1NW NWCL OMAHA'",2003,23,"6","8","8",6,"F",12910,5,FALSE
"S133 00591R    ",55,"'N133'","'1NW NWCL OMAHA'",2003,23,"6","7","7",6,"F",12910,5,FALSE
"S275 15787     ",55,"'CNTY HIGHWAY'","'4N 4W VALLEY'",2000,26,"N","N","N",7,"G",18540,9,FALSE
"S275 15848L    ",55,"'NB US275'","'4NW VALLEY'",1998,28,"6","8","8",6,"F",18540,9,FALSE
"S275 15848R    ",55,"'SB US275'","'4NW VALLEY'",1998,28,"6","8","8",6,"F",18540,9,FALSE
"S275 16065     ",55,"'COUNTY HIGHWAY'","'2NW VALLEY'",1998,28,"7","8","8",7,"G",100,10,FALSE
"S275 16407     ",55,"'COLL 7938'","'.25E VALLEY'",1998,28,"7","7","6",6,"F",700,0,FALSE
"S275 16474L    ",55,"'NB US275 & RAMP'","'.5E VALLEY'",1998,28,"6","6","6",6,"F",23715,9,FALSE
"S275 16474R    ",55,"'SB US275 & RAMP'","'.5E VALLEY'",1998,28,"6","6","6",6,"F",23715,9,FALSE
"S275 16499     ",55,"'VALLEY EAST CONECT'","'.5E VALLEY'",1998,28,"6","8","6",6,"F",100,10,FALSE
"S275 16648     ",55,"'US275'","'SEJCT US275/N64 .2S'",1984,42,"7","7","6",6,"F",25005,9,FALSE
